registered_authority,registered_library,district_name,district_code,county_name,county_code,ward_name,ward_code,msoa_name,msoa_code,lsoa_name,lsoa_code,users
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Walcot Ward,E05001967,Bath and North East Somerset 006,E02002990,Bath and North East Somerset 006D,E01014468,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Westfield Ward,E05001968,Bath and North East Somerset 026,E02003010,Bath and North East Somerset 026B,E01014470,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Westfield Ward,E05001968,Bath and North East Somerset 026,E02003010,Bath and North East Somerset 026C,E01014471,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Weston Ward,E05001970,Bath and North East Somerset 005,E02002989,Bath and North East Somerset 005A,E01014477,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Widcombe Ward,E05001971,Bath and North East Somerset 012,E02002996,Bath and North East Somerset 012C,E01014481,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Widcombe Ward,E05001971,Bath and North East Somerset 012,E02002996,Bath and North East Somerset 012E,E01014483,*
Bath and North East Somerset,B&NES Mobile Libraries,Bournemouth (B),E06000028,,,Boscombe East Ward,E05002113,Bournemouth 016,E02003187,Bournemouth 016C,E01015275,*
Bath and North East Somerset,B&NES Mobile Libraries,Bournemouth (B),E06000028,,,Central Ward,E05002115,Bournemouth 017,E02003188,Bournemouth 017A,E01015283,*
Bath and North East Somerset,B&NES Mobile Libraries,Bournemouth (B),E06000028,,,Central Ward,E05002115,Bournemouth 017,E02003188,Bournemouth 017D,E01015287,*
Bath and North East Somerset,B&NES Mobile Libraries,Bournemouth (B),E06000028,,,Central Ward,E05002115,Bournemouth 017,E02003188,Bournemouth 017G,E01033285,*
Bath and North East Somerset,B&NES Mobile Libraries,Bournemouth (B),E06000028,,,Littledown and Iford Ward,E05002120,Bournemouth 011,E02003182,Bournemouth 011A,E01015314,*
Bath and North East Somerset,B&NES Mobile Libraries,Bournemouth (B),E06000028,,,Moordown Ward,E05002121,Bournemouth 006,E02003177,Bournemouth 006A,E01015320,*
Bath and North East Somerset,B&NES Mobile Libraries,Bournemouth (B),E06000028,,,Talbot and Branksome Woods Ward,E05002125,Bournemouth 013,E02003184,Bournemouth 013C,E01015345,*
Bath and North East Somerset,B&NES Mobile Libraries,Bournemouth (B),E06000028,,,Westbourne and West Cliff Ward,E05002129,Bournemouth 024,E02006885,Bournemouth 024A,E01015367,*
Bath and North East Somerset,B&NES Mobile Libraries,Bournemouth (B),E06000028,,,Westbourne and West Cliff Ward,E05002129,Bournemouth 024,E02006885,Bournemouth 024B,E01015368,*
Bath and North East Somerset,B&NES Mobile Libraries,City of Bristol (B),E06000023,,,Lockleaze Ward,E05010908,Bristol 005,E02003016,Bristol 005C,E01014659,*
Bath and North East Somerset,B&NES Mobile Libraries,City of Westminster London Boro,E09000033,,,Bryanston and Dorset Square Ward,E05000632,Westminster 012,E02000971,Westminster 012E,E01004663,*
Bath and North East Somerset,B&NES Mobile Libraries,Mendip District,E07000187,Somerset County,E10000027,"Ashwick, Chilcompton and Stratton Ward",E05006761,Mendip 006,E02006052,Mendip 006A,E01029018,*
Bath and North East Somerset,B&NES Mobile Libraries,Mendip District,E07000187,Somerset County,E10000027,Frome Keyford Ward,E05006771,Mendip 004,E02006050,Mendip 004A,E01029036,*
Bath and North East Somerset,B&NES Mobile Libraries,Mendip District,E07000187,Somerset County,E10000027,Frome Market Ward,E05006772,Mendip 004,E02006050,Mendip 004C,E01029042,*
Bath and North East Somerset,B&NES Mobile Libraries,Mendip District,E07000187,Somerset County,E10000027,Frome Market Ward,E05006772,Mendip 004,E02006050,Mendip 004E,E01029045,*
Bath and North East Somerset,B&NES Mobile Libraries,New Forest District,E07000091,Hampshire County,E10000014,Brockenhurst and Forest South East Ward,E05004587,New Forest 015,E02004793,New Forest 015C,E01022998,*
Bath and North East Somerset,B&NES Mobile Libraries,North Somerset,E06000024,,,Winford Ward,E05010308,North Somerset 013,E02003077,North Somerset 013B,E01014848,*
Bath and North East Somerset,B&NES Mobile Libraries,South Gloucestershire,E06000025,,,Bitton Ward,E05002044,South Gloucestershire 024,E02003113,South Gloucestershire 024A,E01014865,*
Bath and North East Somerset,B&NES Mobile Libraries,South Gloucestershire,E06000025,,,Boyd Valley Ward,E05002045,South Gloucestershire 024,E02003113,South Gloucestershire 024D,E01014871,*
Bath and North East Somerset,B&NES Mobile Libraries,South Gloucestershire,E06000025,,,Hanham Ward,E05002058,South Gloucestershire 031,E02003120,South Gloucestershire 031A,E01014916,*
Bath and North East Somerset,B&NES Mobile Libraries,South Gloucestershire,E06000025,,,Longwell Green Ward,E05002061,South Gloucestershire 032,E02003121,South Gloucestershire 032E,E01014934,*
Bath and North East Somerset,B&NES Mobile Libraries,South Somerset District,E07000189,Somerset County,E10000027,Crewkerne Ward,E05006832,South Somerset 021,E02006095,South Somerset 021B,E01029183,*
Bath and North East Somerset,B&NES Mobile Libraries,Wiltshire,E06000054,,,,,Wiltshire 017,E02006659,Wiltshire 017E,E01031930,*
Bath and North East Somerset,B&NES Mobile Libraries,Wiltshire,E06000054,,,,,Wiltshire 023,E02006681,Wiltshire 023C,E01032060,*
Bath and North East Somerset,B&NES Mobile Libraries,,,,,,,,,,,16
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Abbey Ward,E05001935,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007A,E01014370,181
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Abbey Ward,E05001935,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007B,E01014371,219
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Abbey Ward,E05001935,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007C,E01014372,169
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Bathavon North Ward,E05001936,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010A,E01014373,114
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Bathavon North Ward,E05001936,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010B,E01014374,99
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Bathavon North Ward,E05001936,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010C,E01014375,71
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Bathavon North Ward,E05001936,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010D,E01014376,97
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Bathavon North Ward,E05001936,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010E,E01014377,142
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Bathavon South Ward,E05001937,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010G,E01033078,82
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Bathavon South Ward,E05001937,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010H,E01033079,45
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Bathavon West Ward,E05001938,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022A,E01014379,55
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Bathwick Ward,E05001939,Bath and North East Somerset 012,E02002996,Bath and North East Somerset 012A,E01014380,145
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Bathwick Ward,E05001939,Bath and North East Somerset 012,E02002996,Bath and North East Somerset 012B,E01014381,211
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Chew Valley North Ward,E05001940,Bath and North East Somerset 021,E02003005,Bath and North East Somerset 021A,E01014382,14
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Chew Valley South Ward,E05001941,Bath and North East Somerset 021,E02003005,Bath and North East Somerset 021C,E01014384,*
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Clutton Ward,E05001942,Bath and North East Somerset 020,E02003004,Bath and North East Somerset 020A,E01014385,6
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Clutton Ward,E05001942,Bath and North East Somerset 020,E02003004,Bath and North East Somerset 020B,E01014386,5
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Combe Down Ward,E05001943,Bath and North East Somerset 018,E02003002,Bath and North East Somerset 018A,E01014387,92
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Combe Down Ward,E05001943,Bath and North East Somerset 018,E02003002,Bath and North East Somerset 018B,E01014388,96
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Combe Down Ward,E05001943,Bath and North East Somerset 018,E02003002,Bath and North East Somerset 018C,E01014389,119
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Combe Down Ward,E05001943,Bath and North East Somerset 018,E02003002,Bath and North East Somerset 018D,E01014390,35
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Farmborough Ward,E05001944,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016A,E01014391,20
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Farmborough Ward,E05001944,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016B,E01014392,15
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,High Littleton Ward,E05001945,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023A,E01014393,9
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,High Littleton Ward,E05001945,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023B,E01014394,*
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Keynsham East Ward,E05001946,Bath and North East Somerset 003,E02002987,Bath and North East Somerset 003A,E01014395,*
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Keynsham East Ward,E05001946,Bath and North East Somerset 003,E02002987,Bath and North East Somerset 003B,E01014396,11
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Keynsham East Ward,E05001946,Bath and North East Somerset 003,E02002987,Bath and North East Somerset 003C,E01014397,11
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Keynsham East Ward,E05001946,Bath and North East Somerset 003,E02002987,Bath and North East Somerset 003D,E01014398,10
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Keynsham North Ward,E05001947,Bath and North East Somerset 001,E02002985,Bath and North East Somerset 001A,E01014399,*
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Keynsham North Ward,E05001947,Bath and North East Somerset 001,E02002985,Bath and North East Somerset 001B,E01014400,5
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Keynsham North Ward,E05001947,Bath and North East Somerset 001,E02002985,Bath and North East Somerset 001C,E01014401,10
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Keynsham South Ward,E05001948,Bath and North East Somerset 002,E02002986,Bath and North East Somerset 002A,E01014402,7
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Keynsham South Ward,E05001948,Bath and North East Somerset 002,E02002986,Bath and North East Somerset 002B,E01014403,*
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Keynsham South Ward,E05001948,Bath and North East Somerset 002,E02002986,Bath and North East Somerset 002C,E01014404,*
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Kingsmead Ward,E05001949,Bath and North East Somerset 009,E02002993,Bath and North East Somerset 009A,E01014405,177
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Kingsmead Ward,E05001949,Bath and North East Somerset 009,E02002993,Bath and North East Somerset 009C,E01014407,114
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Kingsmead Ward,E05001949,Bath and North East Somerset 009,E02002993,Bath and North East Somerset 009E,E01033080,184
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Lambridge Ward,E05001950,Bath and North East Somerset 004,E02002988,Bath and North East Somerset 004A,E01014409,152
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Lambridge Ward,E05001950,Bath and North East Somerset 004,E02002988,Bath and North East Somerset 004B,E01014410,151
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Lambridge Ward,E05001950,Bath and North East Somerset 004,E02002988,Bath and North East Somerset 004C,E01014411,151
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Lansdown Ward,E05001951,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007D,E01014412,134
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Lansdown Ward,E05001951,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007E,E01014413,174
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Lansdown Ward,E05001951,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007F,E01014414,132
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Lyncombe Ward,E05001952,Bath and North East Somerset 017,E02003001,Bath and North East Somerset 017A,E01014415,174
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Lyncombe Ward,E05001952,Bath and North East Somerset 017,E02003001,Bath and North East Somerset 017B,E01014416,115
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Lyncombe Ward,E05001952,Bath and North East Somerset 017,E02003001,Bath and North East Somerset 017C,E01014417,176
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Mendip Ward,E05001953,Bath and North East Somerset 020,E02003004,Bath and North East Somerset 020C,E01014419,*
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Mendip Ward,E05001953,Bath and North East Somerset 021,E02003005,Bath and North East Somerset 021D,E01014418,*
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Midsomer Norton North Ward,E05001954,Bath and North East Somerset 025,E02003009,Bath and North East Somerset 025A,E01014420,*
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Midsomer Norton North Ward,E05001954,Bath and North East Somerset 025,E02003009,Bath and North East Somerset 025B,E01014421,*
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Midsomer Norton North Ward,E05001954,Bath and North East Somerset 025,E02003009,Bath and North East Somerset 025C,E01014422,*
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Midsomer Norton North Ward,E05001954,Bath and North East Somerset 025,E02003009,Bath and North East Somerset 025D,E01014423,7
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Midsomer Norton Redfield Ward,E05001955,Bath and North East Somerset 027,E02003011,Bath and North East Somerset 027A,E01014424,8
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Midsomer Norton Redfield Ward,E05001955,Bath and North East Somerset 027,E02003011,Bath and North East Somerset 027B,E01014425,5
Bath and North East Somerset,Bath Central Library,Bath and North East Somerset,E06000022,,,Midsomer Norton Redfield Ward,E05001955,Bath and North East Somerset 027,E02003011,Bath and North East Somerset 027C,E01014426,*
